"Are you sure you want to do this?","Are you sure you want to do this?"
"Force Unlock","Force Unlock"
Class,Class
Add,Add
Expression,Expression
Template,Template
"Block class","Block class"
"Cms block ID","Cms block ID"
"Clear Log","Clear Log"
Built-in,Built-in
Varnish,Varnish
Unknown,Unknown
"The following CLI commands are available: <br/>bin/magento fpc:warmer:generate <br/>bin/magento fpc:warmer:process","The following CLI commands are available: <br/>bin/magento fpc:warmer:generate <br/>bin/magento fpc:warmer:process"
"Warmed Pages","Warmed Pages"
"Efficiency Report","Efficiency Report"
"Status Codes","Status Codes"
"Please update Amasty Base module. Re-upload it and replace all the files.","Please update Amasty Base module. Re-upload it and replace all the files."
Undefined,Undefined
"Cache Hit","Cache Hit"
"Cache Miss","Cache Miss"
Ignored,Ignored
"Activity log has been successfully cleared.","Activity log has been successfully cleared."
System,System
"Warmer Activity Log","Warmer Activity Log"
"Cache flushes log has been successfully cleared.","Cache flushes log has been successfully cleared."
"Cache Flushes Log","Cache Flushes Log"
"Logs was successfully removed.","Logs was successfully removed."
"Warmer log has been successfully cleared.","Warmer log has been successfully cleared."
"Page has been flushed","Page has been flushed"
"An error has occurred","An error has occurred"
"Warmer Log","Warmer Log"
"%1 page(s) has been successfully flushed","%1 page(s) has been successfully flushed"
"%1 page(s) has been failed to flush","%1 page(s) has been failed to flush"
"Warmer queue has been successfully generated for %1 URLs.","Warmer queue has been successfully generated for %1 URLs."
"Warmer queue was disturbed by another process","Warmer queue was disturbed by another process"
"Warmer Queue","Warmer Queue"
"First batch of warmer queue has been successfully processed.","First batch of warmer queue has been successfully processed."
"Unlocked successfully!","Unlocked successfully!"
Reports,Reports
"Unknown status code","Unknown status code"
"NOT LOGGED IN","NOT LOGGED IN"
"Home Page","Home Page"
"CMS pages","CMS pages"
"Product pages","Product pages"
"Category pages","Category pages"
"Pages Types","Pages Types"
"Text file with one link per line","Text file with one link per line"
"Sitemap XML","Sitemap XML"
"Sitemap XML and Text File together","Sitemap XML and Text File together"
