"All","Tất Cả",module,Magento_AdminGws
"None","Không cái nào",module,Magento_AdminGws
"Allowed Scopes","Phạm vi được phép",module,Magento_AdminGws
"You need more permissions to delete this item(s): %1.","Bạn cần thêm quyền để xoá các mục này: %1.",module,Magento_AdminGws
"You need more permissions to apply some of the rule updates.","Bạn cần thêm quyền để áp dụng một số quy tắc Cập Nhật.",module,Magento_AdminGws
"Please assign this entity to a store view.","Xin vui lòng phân bổ thuộc tính này lên cửa hàng.",module,Magento_AdminGws
"You can create orders only in an active store.","Bạn chỉ có thể tạo đơn hàng trong mộng cửa hàng đang hoạt động.",module,Magento_AdminGws
"Please assign this item to a store view.","Hãy chỉ định mục này vào một cửa hàng.",module,Magento_AdminGws
"You need more permissions to save this item.","Bạn cần thêm quyền để có thể lưu khoản mục này.",module,Magento_AdminGws
"You need more permissions to delete this item.","Bạn cần thêm quyền để xóa bỏ khoản mục này.",module,Magento_AdminGws
"You need more permissions to view this item.","Bạn cần thêm quyền xem khoản mục này.",module,Magento_AdminGws
"Please specify at least one website or one store group.","Vui lòng chỉ định ít nhất một trang web hoặc một nhóm cửa hàng.",module,Magento_AdminGws
"You need more permissions to set All Scopes to a Role.","You need more permissions to set All Scopes to a Role.",module,Magento_AdminGws
"Incorrect website ID: %1","Incorrect website ID: %1",module,Magento_AdminGws
"You need more permissions to access website ""%1"".","You need more permissions to access website ""%1"".",module,Magento_AdminGws
"Incorrect store ID: %1","Incorrect store ID: %1",module,Magento_AdminGws
"You need more permissions to save this setting.","You need more permissions to save this setting.",module,Magento_AdminGws
"Role Scopes","Phạm vi ghi vai trò",module,Magento_AdminGws
"Custom","Tùy chỉnh",module,Magento_AdminGws
"You don't have permissions to save this item in scope of current store view. Please, switch to allowed store view","You don't have permissions to save this item in scope of current store view. Please, switch to allowed store view",module,Magento_AdminGws
"More permissions are needed to delete the ""%1"" item.","More permissions are needed to delete the ""%1"" item.",module,Magento_AdminGws
"This entity needs to be assigned to a store view. Verify the entity assignment and try again.","This entity needs to be assigned to a store view. Verify the entity assignment and try again.",module,Magento_AdminGws
"Orders can only be completed in an active store. Verify the store and try again.","Orders can only be completed in an active store. Verify the store and try again.",module,Magento_AdminGws
"This item needs to be assigned to a store view. Assign item and try again.","This item needs to be assigned to a store view. Assign item and try again.",module,Magento_AdminGws
"More permissions are needed to save this item.","More permissions are needed to save this item.",module,Magento_AdminGws
"More permissions are needed to delete this item.","More permissions are needed to delete this item.",module,Magento_AdminGws
"More permissions are needed to view this item.","More permissions are needed to view this item.",module,Magento_AdminGws
